Student_ID,Gender,Age,Study_Hours,Attendance,Internal_Marks,Assignment_Score,Previous_Grade,Internet_Access,Final_Score,Result
1,Female,20,9.5,91,72,89,B,No,114,Pass
2,Male,19,3.6,59,87,81,B,Yes,78,Pass
3,Male,22,4.5,95,100,40,B,No,89,Pass
4,Male,18,1.7,53,96,66,B,No,66,Pass
5,Male,18,8.8,65,70,71,D,No,98,Pass
6,Male,22,4.1,61,98,78,A,No,83,Pass
7,Male,20,6.4,93,90,64,B,No,99,Pass
8,Female,23,9.2,88,80,56,A,Yes,107,Pass
9,Female,18,2.4,51,99,61,A,No,69,Pass
10,Male,21,4.5,50,98,76,A,No,82,Pass
11,Male,20,4.5,95,43,96,C,No,83,Pass
12,Female,23,5.5,88,40,69,C,Yes,79,Pass
13,Male,19,5.8,81,44,56,A,No,77,Pass
14,Female,23,2.2,96,63,59,D,Yes,70,Pass
15,Female,17,2.6,51,65,78,B,Yes,63,Pass
16,Male,22,1.9,68,85,98,D,Yes,75,Pass
17,Female,22,9.5,88,71,67,D,No,108,Pass
18,Female,22,4.6,66,76,90,A,Yes,83,Pass
19,Male,21,3.4,52,47,69,A,No,60,Pass
20,Female,19,5.9,81,92,92,D,No,99,Pass
21,Female,19,4.6,77,65,87,A,Yes,83,Pass
22,Female,22,3.8,87,78,48,D,No,78,Pass
23,Male,18,10,79,40,62,B,Yes,98,Pass
24,Male,21,9.3,89,58,75,B,Yes,105,Pass
25,Female,19,3.8,60,50,49,B,Yes,61,Pass
26,Male,23,7,68,60,44,A,Yes,82,Pass
27,Female,21,9.1,64,66,59,B,No,96,Pass
28,Male,22,8.6,82,57,45,A,No,93,Pass
29,Male,18,2.1,78,96,84,A,Yes,79,Pass
30,Male,21,7.5,53,96,40,D,Yes,90,Pass
31,Female,20,8.1,51,97,44,A,No,93,Pass
32,Female,19,2.6,62,83,57,D,No,67,Pass
33,Female,23,4.1,74,48,78,B,Yes,72,Pass
34,Female,22,6.6,69,44,54,D,No,77,Pass
35,Male,20,6.5,92,84,48,A,No,94,Pass
36,Male,22,1.3,74,100,48,A,Yes,68,Pass
37,Male,21,9.2,95,62,55,D,No,104,Pass
38,Male,20,4.1,69,41,64,D,No,66,Pass
39,Female,23,10,63,92,67,B,Yes,109,Pass
40,Female,17,5.3,68,88,97,B,Yes,92,Pass
41,Female,21,2.6,98,80,56,D,No,77,Pass
42,Female,20,4.3,95,51,49,A,Yes,75,Pass
43,Male,22,7.6,51,54,53,C,Yes,80,Pass
44,Male,20,5.8,75,99,62,C,Yes,93,Pass
45,Male,19,7.9,80,75,79,C,Yes,101,Pass
46,Male,17,8.8,63,45,96,D,Yes,95,Pass
47,Female,19,8.7,72,87,73,C,No,105,Pass
48,Female,21,2.8,63,67,57,C,No,64,Pass
49,Female,19,6.6,91,84,56,D,Yes,96,Pass
50,Male,23,1.1,51,72,77,A,Yes,57,Pass
51,Male,18,5.8,59,46,55,A,Yes,71,Pass
52,Female,23,6.2,91,80,40,D,Yes,90,Pass
53,Female,21,9.5,75,59,69,D,No,101,Pass
54,Male,17,7.2,89,88,82,A,Yes,105,Pass
55,Male,19,1.8,99,68,100,A,No,79,Pass
56,Male,22,4.1,99,99,62,A,Yes,92,Pass
57,Male,19,2.4,66,65,49,A,No,61,Pass
58,Female,17,6.7,71,86,62,C,Yes,93,Pass
59,Male,23,5.1,56,80,65,D,Yes,79,Pass
60,Male,17,3.3,98,60,91,A,Yes,82,Pass
61,Female,21,3.7,60,65,44,D,Yes,64,Pass
62,Male,21,2.4,68,41,42,D,No,53,Pass
63,Female,21,7,80,79,46,D,No,91,Pass
64,Female,18,3.4,81,88,70,D,No,81,Pass
65,Male,18,5.1,64,44,62,D,Yes,70,Pass
66,Male,17,3.7,98,68,60,D,No,80,Pass
67,Female,20,5.6,66,52,66,C,No,76,Pass
68,Female,17,1.5,78,100,88,A,Yes,78,Pass
69,Female,18,1.5,90,44,68,A,Yes,61,Pass
70,Female,18,4.9,74,49,46,B,Yes,70,Pass
71,Female,23,10,63,66,64,A,No,101,Pass
72,Male,17,5.8,90,80,90,A,Yes,98,Pass
73,Male,21,4.5,63,40,97,A,No,72,Pass
74,Female,17,8,52,97,68,A,Yes,98,Pass
75,Male,20,8.5,81,81,61,C,No,103,Pass
76,Male,18,6.7,64,74,58,D,Yes,86,Pass
77,Female,19,3.3,54,45,43,D,Yes,54,Pass
78,Female,20,4.3,93,67,72,A,Yes,83,Pass
79,Female,18,5.1,77,45,97,D,Yes,81,Pass
80,Female,23,3.6,51,84,58,A,No,70,Pass
81,Female,18,8.1,65,81,100,D,Yes,104,Pass
82,Male,21,7.1,50,56,68,A,No,80,Pass
83,Male,22,2,80,68,43,D,No,63,Pass
84,Female,17,8.9,60,72,58,A,No,95,Pass
85,Female,20,8.2,78,66,86,C,No,101,Pass
86,Male,19,9.3,64,52,79,B,No,97,Pass
87,Female,21,6.5,97,91,61,A,No,101,Pass
88,Female,23,3.5,75,52,63,A,No,68,Pass
89,Female,23,5.5,90,79,60,A,Yes,90,Pass
90,Female,23,7.1,87,47,97,C,Yes,95,Pass
91,Male,18,4.3,73,78,53,D,No,77,Pass
92,Male,19,9,84,50,72,C,No,99,Pass
93,Male,18,1.4,84,56,86,D,Yes,66,Pass
94,Male,23,9.7,89,52,46,C,Yes,100,Pass
95,Female,19,6.1,55,51,90,C,No,80,Pass
96,Female,19,3.3,80,53,84,C,Yes,73,Pass
97,Female,21,2,82,59,69,C,Yes,66,Pass
98,Female,17,7.5,52,96,40,A,No,89,Pass
99,Male,20,6.9,58,98,98,B,No,100,Pass
100,Male,20,2.6,54,56,88,D,Yes,63,Pass
101,Female,19,8.9,70,49,71,C,No,94,Pass
102,Male,22,5.1,83,90,79,C,Yes,93,Pass
103,Female,18,7.9,95,79,74,C,Yes,106,Pass
104,Female,20,5.9,81,70,40,C,No,82,Pass
105,Male,22,3.5,89,57,59,C,No,73,Pass
106,Female,19,8.6,85,46,60,B,No,94,Pass
107,Female,19,2.6,59,46,48,B,Yes,54,Pass
108,Female,17,2.8,60,53,93,B,No,66,Pass
109,Male,19,1.5,57,96,64,B,Yes,66,Pass
110,Female,23,7.2,86,49,66,D,Yes,89,Pass
111,Male,18,5.6,86,83,93,D,Yes,97,Pass
112,Female,23,4.6,80,79,43,C,No,79,Pass
113,Male,22,3.4,65,41,64,C,Yes,61,Pass
114,Male,17,5,51,92,52,D,No,78,Pass
